Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,15,1,1,0,0,0,0.900,0.000,0.900,1.486,0,13.113,0.241,0,3.495,9.176,0.000,3.755,2.517,4.849,7.183,3.220,4.192,1.351
Track_1,1,21,1,1,0,0,0,1.260,0.000,1.260,0.472,1,16.560,11.114,0,2.936,6.806,0.596,2.783,1.740,4.165,7.631,3.047,4.000,1.044
Track_2,2,8,0,0,0,0,0,0.420,0.060,0.480,0.091,2,12.617,0.900,0,4.255,8.540,0.959,4.213,2.622,4.414,6.634,3.043,4.556,1.161
Track_3,3,4,0,0,0,0,0,0.180,0.000,0.180,0.621,3,13.353,11.135,0,4.424,9.199,1.684,2.390,4.150,3.660,4.308,3.123,3.861,0.460
Track_4,4,31,1,1,0,0,0,1.860,0.000,1.860,1.940,4,13.050,1.978,0,3.260,8.007,0.760,2.673,1.947,5.608,10.681,3.019,5.234,1.847
Track_5,5,10,2,1,0,0,0,0.660,0.000,0.660,0.584,5,13.534,2.347,0,2.837,4.484,0.701,2.980,1.294,4.167,5.652,3.128,4.244,0.739
Track_6,6,6,0,0,0,0,0,0.300,0.000,0.300,0.247,6,9.509,11.860,0,2.755,5.010,0.955,2.438,1.619,4.972,8.030,3.341,5.329,1.724
Track_7,7,10,1,1,0,0,0,0.600,0.000,0.600,0.991,7,12.983,1.762,0,3.965,8.761,1.314,3.345,2.366,4.892,10.866,3.048,4.558,2.207
Track_8,8,6,0,0,0,0,0,0.300,0.000,0.300,0.425,8,12.227,1.866,0,2.676,5.284,1.847,2.171,1.467,5.167,7.937,3.596,4.663,1.400
Track_9,9,4,0,0,0,0,0,0.180,0.000,0.180,0.413,9,20.052,11.793,0,3.411,4.719,1.920,3.592,1.408,3.690,4.505,3.068,3.755,0.529
Track_10,10,10,1,1,0,0,0,0.600,0.000,0.600,0.641,10,12.841,3.126,0,3.010,7.857,1.000,2.342,2.120,7.426,11.227,4.744,7.355,2.142
