Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,11,0,0,0,0,0,0.600,0.000,0.600,0.022,0,9.455,7.830,0,0.982,1.747,0.396,1.039,0.428,4.289,5.230,3.068,4.608,0.775
Track_1,1,39,5,1,0,0,0,2.580,0.780,3.360,0.027,1,9.477,7.828,0,0.864,2.106,0.086,0.865,0.430,4.139,6.688,3.031,4.189,0.730
Track_2,2,2,0,0,0,0,0,0.060,1.260,1.320,0.069,2,8.177,11.476,0,1.157,1.157,1.157,1.157,NaN,3.156,3.273,3.040,3.273,0.117
Track_3,3,2,0,0,0,0,0,0.060,1.440,1.500,0.094,3,18.052,12.155,0,1.559,1.559,1.559,1.559,NaN,3.613,3.946,3.280,3.946,0.333
Track_4,4,2,0,0,0,0,0,0.060,1.560,1.620,0.067,4,8.180,11.414,0,1.109,1.109,1.109,1.109,NaN,3.550,3.995,3.106,3.995,0.445
Track_5,5,5,1,1,0,0,0,0.300,1.680,1.980,0.025,5,18.008,12.063,0,0.533,1.048,0.246,0.427,0.353,3.746,5.197,3.172,3.406,0.736
Track_6,6,3,0,0,0,0,0,0.120,2.940,3.060,0.061,6,4.303,13.381,0,0.545,0.596,0.494,0.596,0.072,6.817,8.091,5.419,6.942,1.095
Track_7,7,2,0,0,0,0,0,0.060,4.020,4.080,0.078,7,12.476,6.050,0,1.307,1.307,1.307,1.307,NaN,3.117,3.216,3.018,3.216,0.099
Track_8,8,9,1,1,0,0,0,0.540,15.660,16.200,0.017,8,12.403,0.758,0,0.463,1.039,0.063,0.404,0.340,3.716,4.702,3.021,3.770,0.440
Track_9,9,2,0,0,0,0,0,0.060,4.740,4.800,0.083,9,4.112,14.324,0,1.386,1.386,1.386,1.386,NaN,3.093,3.107,3.079,3.107,0.014
