Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_2804,0,151,0,0,0,0,0,300,0,300,1.557,0,40.418,21.883,0,0.013,0.060,5.877E-4,0.010,0.010,39.580,71.290,12.204,41.127,16.514
Track_2805,1,9,0,0,0,0,0,16,2,18,0.122,1,4.127,62.601,0,0.069,0.200,0.001,0.063,0.079,23.197,26.754,21.996,22.538,1.461
Track_2806,2,9,0,0,0,0,0,16,0,16,0.162,2,9.451,62.761,0,0.017,0.030,0.008,0.017,0.007,26.429,30.586,23.513,25.889,1.987
Track_2807,3,7,0,0,0,0,0,12,0,12,0.071,3,42.529,21.038,0,0.014,0.025,0.003,0.011,0.009,160.960,198.519,137.112,156.697,19.394
Track_2808,4,37,1,1,0,0,0,74,0,74,0.734,4,45.549,20.930,0,0.025,0.074,0.004,0.022,0.016,25.621,38.569,12.437,25.654,7.412
Track_2809,5,57,1,1,1,0,0,68,0,68,1.151,5,9.741,62.338,0,0.029,0.110,0.002,0.023,0.023,29.695,53.980,12.276,24.004,13.525
Track_2810,6,16,0,0,0,0,0,30,0,30,0.230,6,44.514,20.341,0,0.025,0.037,0.012,0.024,0.008,30.226,111.008,17.377,26.526,21.355
Track_2811,7,9,2,1,0,0,0,20,0,20,0.116,7,41.466,20.542,0,0.041,0.093,0.013,0.038,0.025,17.738,30.222,11.059,15.496,5.634
Track_2812,8,16,0,0,0,0,0,30,0,30,0.256,8,4.126,62.162,0,0.085,0.200,0.001,0.063,0.081,22.908,26.754,21.425,22.538,1.232
Track_2813,9,9,0,0,0,0,0,16,0,16,0.162,9,9.451,61.915,0,0.017,0.030,0.008,0.017,0.007,26.429,30.586,23.513,25.889,1.988
Track_2814,10,155,0,0,1,0,0,288,0,288,0.152,10,44.699,22.480,0,0.013,0.222,4.029E-4,0.009,0.020,126.162,300.322,28.366,115.170,58.195
Track_2815,11,2,0,0,0,0,0,2,8,10,0.150,11,4.123,63.854,0,0.075,0.075,0.075,0.075,NaN,22.482,23.086,21.878,23.086,0.604
Track_2816,12,7,0,0,0,0,0,12,0,12,0.144,12,46.063,22.597,0,0.031,0.051,0.020,0.029,0.011,14.260,18.278,11.720,13.201,2.057
Track_2817,13,15,0,0,0,0,0,28,0,28,0.786,13,6.255,63.688,0,0.030,0.074,0.013,0.029,0.015,25.359,39.105,14.654,26.150,7.604
Track_2818,14,51,0,0,0,0,0,100,0,100,1.189,14,10.955,63.646,0,0.016,0.069,0.003,0.013,0.012,58.473,94.276,11.689,57.431,19.623
Track_2819,15,157,0,0,2,0,0,300,0,300,0.307,15,43.610,22.175,0,0.018,0.213,5.630E-4,0.010,0.028,167.518,370.395,32.897,154.144,81.308
Track_2820,16,7,0,0,0,0,0,12,0,12,0.383,16,39.764,22.048,0,0.036,0.137,0.013,0.017,0.050,54.613,70.749,40.856,51.609,9.740
Track_2821,17,102,2,1,4,0,0,140,0,140,0.637,17,4.124,62.922,0,0.095,0.244,5.335E-4,0.078,0.066,22.399,24.500,20.470,22.337,0.681
Track_2822,18,13,0,0,0,0,0,24,0,24,0.258,18,8.738,63.405,0,0.034,0.081,0.013,0.029,0.019,22.802,44.001,11.790,21.897,9.242
Track_2823,19,28,2,1,0,0,0,58,0,58,0.535,19,41.227,21.524,0,0.031,0.113,0.003,0.023,0.030,102.096,211.643,13.915,84.271,52.375
Track_2824,20,62,1,1,0,0,0,124,0,124,0.476,20,39.979,21.539,0,0.018,0.121,4.659E-4,0.012,0.021,55.519,122.023,11.602,51.641,30.650
Track_2825,21,73,0,0,0,0,0,144,0,144,0.257,21,43.054,21.584,0,0.019,0.080,0.002,0.014,0.016,129.952,273.782,19.002,98.236,83.848
Track_2826,22,54,0,0,0,0,0,106,0,106,1.300,22,8.577,63.167,0,0.018,0.040,0.005,0.017,0.009,76.049,102.056,14.690,83.204,21.858
