Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,84,2,1,0,0,0,4.250,0.000,4.250,0.147,0,4.940,10.996,0,0.743,2.730,0.041,0.665,0.519,15.366,26.512,10.052,14.169,4.058
Track_1,1,630,2,1,0,0,0,31.550,0.000,31.550,0.124,1,12.532,11.127,0,0.415,1.786,0.021,0.360,0.262,32.211,46.582,10.349,33.177,6.802
Track_2,2,9,0,0,0,0,0,0.400,0.000,0.400,0.517,2,8.768,11.264,0,2.170,9.478,0.281,1.163,3.001,11.490,14.082,10.248,11.051,1.171
Track_3,3,94,0,0,0,0,0,4.650,0.000,4.650,0.140,3,13.546,11.167,0,0.733,3.280,0.054,0.590,0.500,21.602,37.207,12.519,20.874,5.664
Track_4,4,42,0,0,0,0,0,2.050,0.000,2.050,0.470,4,15.378,11.356,0,1.866,3.633,0.551,1.886,0.870,26.094,50.918,10.606,25.736,9.680
Track_5,5,62,3,1,0,0,0,3.200,0.000,3.200,0.032,5,16.290,11.209,0,0.748,2.112,0.104,0.653,0.423,18.699,29.262,10.177,20.182,5.063
Track_6,6,64,1,1,0,0,0,3.200,0.000,3.200,0.128,6,6.109,11.394,0,1.268,4.219,0.088,0.959,0.863,21.447,39.296,10.783,20.629,6.123
Track_7,7,32,0,0,0,0,0,1.550,0.000,1.550,0.024,7,19.620,11.315,0,0.408,1.168,0.066,0.381,0.260,22.957,31.241,14.188,22.420,5.138
Track_8,8,4,1,1,0,0,0,0.200,0.000,0.200,0.004,8,9.072,11.449,0,0.488,0.845,0.304,0.316,0.309,11.458,12.201,10.208,11.851,0.755
Track_9,9,4,0,0,0,0,0,0.150,0.050,0.200,0.018,9,15.116,11.463,0,0.633,0.725,0.554,0.620,0.086,13.733,15.331,11.256,15.237,1.684
Track_10,10,291,0,0,0,0,0,14.500,0.000,14.500,0.144,10,16.794,11.574,0,0.472,5.634,0.025,0.382,0.487,36.963,83.568,17.089,28.931,16.956
Track_11,11,66,0,0,0,0,0,3.250,0.000,3.250,0.561,11,19.993,11.540,0,1.525,5.589,0.120,1.150,1.275,40.808,64.908,17.517,38.993,11.567
Track_12,12,488,4,1,0,0,0,24.550,0.000,24.550,0.203,12,5.659,11.857,0,0.732,2.724,0.036,0.666,0.464,23.895,48.639,10.123,20.903,9.292
Track_13,13,165,3,1,0,0,0,8.350,0.000,8.350,0.203,13,11.431,0.029,0,0.756,3.479,0.000,0.000,0.949,20.132,38.947,10.146,18.989,6.026
Track_14,14,328,0,0,0,0,0,16.350,0.000,16.350,0.234,14,14.620,0.009,0,0.382,1.938,0.000,0.000,0.693,33.629,53.721,13.817,33.385,7.506
Track_15,15,18,2,1,0,0,0,0.950,0.000,0.950,0.085,15,16.811,0.000,0,0.450,1.699,0.000,0.000,0.743,15.035,18.850,10.470,15.909,2.745
Track_16,16,882,2,1,0,0,0,44.150,0.000,44.150,0.150,16,7.248,11.665,0,0.528,2.211,0.007,0.479,0.319,23.382,47.570,10.583,21.639,7.855
Track_17,17,1513,2,1,0,0,0,75.700,0.000,75.700,0.188,17,0.787,0.185,0,0.586,2.948,0.000,0.474,0.442,25.569,52.797,10.166,23.996,8.317
Track_18,18,64,3,1,0,0,0,3.300,0.000,3.300,0.096,18,12.501,0.018,0,0.254,2.735,0.000,0.000,0.599,14.333,18.504,10.200,14.590,1.942
Track_19,19,451,1,1,0,0,0,22.550,0.000,22.550,0.447,19,15.182,0.132,0,0.702,2.990,0.000,0.539,0.571,20.559,28.807,10.944,20.453,3.279
Track_20,20,242,1,1,0,0,0,12.100,0.000,12.100,0.086,20,9.270,0.200,0,0.771,5.963,0.038,0.516,0.716,44.007,89.543,11.644,41.571,19.071
Track_21,21,71,3,1,0,0,0,3.650,0.000,3.650,0.089,21,11.605,11.786,0,0.923,8.386,0.085,0.695,1.230,14.959,24.951,10.376,14.283,3.358
Track_22,22,15,1,1,0,0,0,0.750,0.000,0.750,0.116,22,6.601,0.519,0,1.014,2.374,0.108,0.949,0.730,13.578,16.313,11.584,13.562,1.147
Track_23,23,188,1,1,0,0,0,9.400,0.000,9.400,0.103,23,8.156,0.573,0,0.501,2.226,0.054,0.433,0.349,42.164,64.917,27.667,40.721,7.972
Track_24,24,8,0,0,0,0,0,0.350,0.000,0.350,0.059,24,13.436,0.529,0,0.453,0.926,0.246,0.311,0.251,54.415,65.199,32.781,58.793,9.814
Track_25,25,312,3,1,0,0,0,15.700,0.000,15.700,0.119,25,10.749,0.634,0,0.530,2.292,0.033,0.471,0.321,19.100,60.353,10.008,18.095,6.108
Track_26,26,1115,0,0,0,0,0,55.700,0.000,55.700,0.125,26,13.052,0.645,0,0.389,3.791,0.013,0.336,0.310,51.819,148.290,19.318,42.238,28.199
Track_27,27,2753,1,1,0,0,0,137.650,0.000,137.650,0.416,27,9.875,0.871,0,0.547,5.992,0.012,0.434,0.449,25.091,59.767,10.078,24.085,8.917
Track_28,28,186,2,1,0,0,0,9.350,0.000,9.350,0.091,28,5.409,1.021,0,0.488,2.341,0.031,0.419,0.358,38.034,70.164,10.089,40.336,14.056
Track_29,29,6,0,0,0,0,0,0.250,0.150,0.400,0.237,29,11.280,1.074,0,1.818,3.498,0.300,1.853,1.374,13.210,14.777,10.831,14.296,1.587
Track_30,30,67,0,0,0,0,0,3.300,0.000,3.300,0.127,30,6.907,1.148,0,0.705,3.186,0.052,0.564,0.547,24.058,43.184,10.454,22.152,8.443
