Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID555949,555949,0,3.068,9.458,7.821,0,0.000,0,0.250,1,-10921639,444.838,443,404,492,16459,22.401,0.654,0.014,0.557
ID555946,555946,0,5.230,9.422,7.806,0,0.060,1,0.250,1,-10921639,444.216,442,396,492,16436,24.000,0.859,0.018,0.670
ID555941,555941,0,4.477,9.459,7.866,0,0.120,2,0.250,1,-10921639,445.946,447,403,507,16500,25.242,0.910,0.020,0.676
ID555931,555931,0,4.608,9.447,7.794,0,0.180,3,0.250,1,-10921639,440.784,445,395,507,16309,27.428,0.950,0.021,0.655
ID555936,555936,0,4.610,9.429,7.833,0,0.240,4,0.250,1,-10921639,454.811,452,416,513,16828,23.719,0.390,0.027,1.005
ID555921,555921,0,4.989,9.458,7.828,0,0.300,5,0.250,1,-10921639,447.351,445,395,500,16552,24.548,0.898,0.025,0.901
ID555918,555918,0,4.148,9.474,7.886,0,0.360,6,0.250,1,-10921639,440.297,443,391,485,16291,21.432,0.851,0.019,0.786
ID555923,555923,0,3.169,9.480,7.824,0,0.420,7,0.250,1,-10921639,445.297,443,392,505,16476,23.232,0.848,0.018,0.692
ID555960,555960,0,5.034,9.498,7.809,0,0.480,8,0.250,1,-10921639,449.054,449,400,503,16615,26.569,0.240,0.024,0.806
ID555959,555959,0,3.084,9.400,7.847,0,0.540,9,0.250,1,-10921639,442.243,444,409,511,16363,19.906,0.950,0.018,0.787
ID555953,555953,0,4.761,9.478,7.813,0,0.600,10,0.250,1,-10921639,448.270,449,381,512,16586,25.215,0.394,0.024,0.842
ID555968,555968,1,3.255,9.496,7.800,0,0.780,13,0.250,1,-10921639,441.000,433,403,485,16317,20.923,0.845,0.015,0.605
ID555973,555973,1,5.066,9.434,7.808,0,0.840,14,0.250,1,-10921639,450.514,447,401,511,16669,24.553,0.211,0.027,0.974
ID555963,555963,1,3.086,9.489,7.838,0,0.900,15,0.250,1,-10921639,437.541,436,389,495,16189,23.620,0.391,0.016,0.570
ID555976,555976,1,3.324,9.422,7.804,0,0.960,16,0.250,1,-10921639,439.189,441,406,478,16250,20.762,0.392,0.016,0.651
ID555982,555982,1,4.333,9.432,7.851,0,1.020,17,0.250,1,-10921639,449.568,447,414,507,16634,22.866,0.544,0.024,0.909
ID555979,555979,1,5.252,9.395,7.822,0,1.080,18,0.250,1,-10921639,445.784,439,397,505,16494,24.788,0.216,0.023,0.819
ID555989,555989,1,4.453,9.490,7.817,0,1.140,19,0.250,1,-10921639,448.324,447,404,505,16588,26.947,0.543,0.025,0.802
ID555980,555980,1,3.807,9.484,7.854,0,1.200,20,0.250,1,-10921639,445.946,443,409,500,16500,20.539,0.545,0.024,1.033
ID555994,555994,1,3.106,9.455,7.841,0,1.260,21,0.250,1,-10921639,441.081,439,397,523,16320,23.372,0.950,0.018,0.652
